1.100E-03	2.180E+00	1.000E-06	1.000E+00	1.720E-04	7.780E-04	8.700E-01	8.000E-01
1.980E-02	1.780E+01	3.000E-06	1.000E+00	3.980E-03	4.020E-03	9.800E-01	4.100E-01
1.620E-02	1.490E+01	3.000E-06	1.000E+00	3.340E-03	3.510E-03	9.600E-01	4.000E-01
7.200E-03	5.330E+00	3.000E-06	1.000E+00	1.530E-03	1.500E-03	9.900E-01	2.500E-01
9.000E-03	7.570E+00	3.000E-06	1.000E+00	1.900E-03	2.160E-03	9.500E-01	3.400E-01
1.620E-02	1.490E+01	3.000E-06	1.000E+00	3.270E-03	3.610E-03	9.200E-01	4.400E-01
4.500E-03	3.500E+00	3.000E-06	1.000E+00	7.710E-04	1.960E-03	8.200E-01	6.200E-01
9.000E-03	7.330E+00	3.000E-06	1.000E+00	1.480E-03	3.610E-03	8.700E-01	6.700E-01
1.620E-02	1.270E+01	3.000E-06	1.000E+00	2.360E-03	5.720E-03	9.200E-01	7.400E-01
2.100E-03	5.090E+00	3.000E-06	3.000E+00	4.180E-04	1.120E-03	6.800E-01	4.700E-01
3.600E-03	2.950E+00	3.000E-06	1.000E+00	5.520E-04	2.110E-03	8.900E-01	7.600E-01
1.500E-03	3.570E+00	3.000E-06	3.000E+00	2.680E-04	1.080E-03	8.100E-01	6.000E-01
5.000E-02	1.440E+01	1.000E-05	1.000E+00	8.490E-03	7.830E-03	9.600E-01	3.900E-01
3.500E-02	1.130E+01	1.000E-05	1.000E+00	5.930E-03	7.730E-03	9.600E-01	4.500E-01
1.100E-02	2.920E+00	1.000E-05	1.000E+00	1.970E-03	1.910E-03	9.800E-01	2.100E-01
1.500E-02	4.060E+00	1.000E-05	1.000E+00	2.540E-03	3.410E-03	9.500E-01	3.300E-01
3.500E-02	1.080E+01	1.000E-05	1.000E+00	5.370E-03	8.860E-03	9.500E-01	5.600E-01
5.000E-02	1.350E+01	1.000E-05	1.000E+00	6.930E-03	1.030E-02	9.600E-01	5.800E-01
1.500E-02	4.610E+00	1.000E-05	1.000E+00	2.350E-03	5.030E-03	8.900E-01	5.700E-01
3.500E-02	9.580E+00	1.000E-05	1.000E+00	4.560E-03	9.350E-03	9.400E-01	6.600E-01
8.000E-03	2.470E+00	1.000E-05	1.000E+00	1.190E-03	3.310E-03	8.600E-01	6.500E-01
1.170E-02	9.120E+00	1.000E-05	3.000E+00	1.480E-03	5.440E-03	9.400E-01	6.700E-01
7.500E-03	2.650E+00	1.000E-05	1.000E+00	1.050E-03	4.140E-03	8.800E-01	7.500E-01
1.000E-02	3.550E+00	1.000E-05	1.000E+00	1.220E-03	6.200E-03	8.900E-01	8.100E-01
1.500E-02	5.410E+00	1.000E-05	1.000E+00	1.790E-03	8.950E-03	8.900E-01	8.000E-01
2.000E-02	6.650E+00	1.000E-05	1.000E+00	2.340E-03	1.030E-02	8.700E-01	7.900E-01
4.000E-02	1.070E+01	1.000E-05	1.000E+00	4.440E-03	1.210E-02	8.300E-01	7.000E-01
6.300E-02	7.480E+00	3.000E-05	1.000E+00	1.010E-02	9.380E-03	9.600E-01	3.100E-01
